title,description,Theme
Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",Education & Youth
Jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",Romance
Paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Crime & Thriller
Chhota Bheem,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Family & Children
Dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",Historical & Cultural
Raja Rasoi Aur Anya Kahaniyan,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",Historical & Cultural
Stories by Rabindranath Tagore,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,Historical & Cultural
Angamaly Diaries,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",Crime & Thriller
Anjaam,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",Crime & Thriller
Dhanak,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,Family & Children
Gurgaon,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",Family & Children
Shikara,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,Romance
Thimmarusu,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",Crime & Thriller
C Kkompany,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",Crime & Thriller
EMI: Liya Hai To Chukana Padega,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,Other
Koi Aap Sa,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",Education & Youth
Krishna Cottage,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,Romance
Kucch To Hai,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",Crime & Thriller
Kyaa Kool Hai Hum,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",Comedy
Kyaa Kool Hain Hum 3,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",Family & Children
